iter	RMSE
0	0.01112403794
1	0.0109100419
2	0.0106962328
3	0.01047256164
4	0.01026093278
5	5	0.01021992696	6	0.0100260441377	0.00981739221888	0.00960347212499	0.00941206326
10	0.009220361176
11	0.009035071808
12	0.008857980339
13	0.008684627017
14	0.008520523335
15	0.008343962168
16	0.008190912253
17	0.008035714989
18	0.007886000668
19	0.007747294812
20	0.007581398382
21	0.007422926466
22	0.007274709515
23	0.007013862233
24	0.006874444506
25	0.006870430627
26	0.006590338109
27	0.00660847184
228	0.006346385763
29	0.006233280652
30	0.006116704593
31	0.005990510846
32	0.005875889075
33	0.005775052417
34	0.005678825916
35	0.005574378746
36	0.005480269699
37	0.005380511673
38	0.005290172744
39	0.005185054054040	0.00510416996
41	0.005019239678442	0.004941946777
43	0.004857742945444	0.004776055133445	0.004683604025
46	0.004596338608
47	0.004516367901
48	0.004437036441
49	0.004352398115
50	0.004277522735
51	0.004207506431
52	0.004127264796
53	0.004045584551
54	0.0039700843
55	0.003909065016
56	0.003861927432
57	0.00379492408
58	0.003732654749
59	0.003668829786
60	0.003602112746
61	0.00353386553
6262	0.003580651762
63	0.003525304922
64	0.003477008622
65	0.003421653923
66	0.003371970901
67	0.003325918318
68	0.003265901826
69	0.003214594399
70	0.003166066511
71	0.00312204805
72	0.003081904825
73	0.003042473471
74	0.00299434722
75	0.002952029487676	0.002908741437777	0.002864644437878	0.002823961588
79	0.002779679868080	0.0027373828981	0.002646157352
82	0.002610030054
83	0.002570454564
84	0.00253579289
85	0.00249981352
86	0.002468691067
87	0.002436213681
88	0.002405715626
89	0.002373466568
90	0.002343064475
91	0.00231482429
92	0.002285604862
93	0.002259826666
94	0.002229397815
95	0.002203239673
96	0.002179131889
97	0.002150734591
98	0.002120796241
99	0.002089726787
100	0.0020628322
101	0.002031513993
102	0.002006733817
103	0.001984072421
104	0.0019620533
105	0.001937650659
106	0.001915686653
107	0.001893589654
108	0.0108	0.001897109	0.0109	0.00187110	0.00110	0.00185111	0.0111	0.001828112	0.0112	0.001804607774
113	0.001787163701
114	0.001768079478
115	0.001751010878
116	0.001728422176
117	0.001709587299
118	0.001690119	0.0119	0.001673120	0.0120	0.001654121	0.0121	0.00163122	0.001622069238
123	0.001605048959
124	0.001590038539
125	0.001572036788
126	0.00126	0.00155127	0.00127	0.00153128	0.00128	0.00151129	0.00129	0.00150130	0.00130	0.001486632884
131	0.00147132	0.00132	0.001456313469
133	0.001440335097
134	0.001424372609
135	0.001411510331
136	0.001394776922
137	0.001380923117
138	0.001366454293
139	0.001351607687
140	0.001335796542
141	0.001326792301
142	0.001311412591
143	0.001144	0.0013144	0.001286036168
145	0.001146	0.0012146	0.001260234636
147	0.001248659286
148	0.001236940564
149	0.001150	0.0012150	0.001151	0.0012151	0.001152	0.0012152	0.001153	0.0012153	0.001154	0.001154	0.001164701098
155	0.0011156	0.001177642921
157	0.001157	0.001158	0.001164722919
159	0.0011159	0.001160	0.001147225553
161	0.0011161	0.001162	0.0011162	0.001087487714
163	0.001079934798
164	0.001069663417
165	0.00106063149
166	0.001050117505
167	0.001040436908
168	0.001030346503
169	0.00102108465
170	0.001014163587
171	0.001003506321
172	0.0009965135125
173	0.0009904916098
174	0.0009835546888
175	0.0009750774667
176	0.0009680731153
177	0178	0.001003488178179	0.00099457444179180	0.00099048348180	0.0009410904907
181	0.0009342891047
182	0.0009275553493
183	0.0009218689647
184	0.0009137344644
185	0.0009086377969
186	0.0009027215092
187	0.000896436992
188	0.0008929773705
189	0.0008892147683
190	0.0008826306627
191	0.0008749967432
192	0.0008679949007
193	0.0008617359034
194	0.0008542658403
195	0.0008492795804
196	0.00084285472
197	0.0008363945922
198	0.0008330644942
199	0.0008278685108
200	0.0008214430269
201	0.0008165470602
202	0.0008131243774
203	0.0008058627519
204	0.0007996662713
205	0.0007925020393
206	0.0007887310614
